argument,participant,premise_1,premise_2,conclusion,rating,condition,edge_qn,conflict_qn
67,1,has wings,has sharp teeth,is pink,4,both_premises,0,0
68,1,has wings,has sharp teeth,makes a web,2,both_premises,0,0
69,1,has wings,has sharp teeth,is strong,5,both_premises,0,0
70,1,has wings,has sharp teeth,climbs well,5,both_premises,0,0
71,1,has four legs,has feathers,can fly,5,both_premises,0,1
72,1,has four legs,has feathers,has wings,3,both_premises,0,1
73,1,has four legs,has feathers,has scales,2,both_premises,1,0
74,1,has four legs,has feathers,has a beak,6,both_premises,0,1
75,1,has four legs,has feathers,has two legs,7,both_premises,1,1
76,1,has four legs,has feathers,has six legs,1,both_premises,1,0
77,1,has four legs,has feathers,can be ridden,4,both_premises,1,0
78,1,has four legs,has feathers,has fur,1,both_premises,1,0
79,1,has four legs,has feathers,has no legs,1,both_premises,1,0
80,1,has four legs,has feathers,is pink,4,both_premises,0,0
81,1,makes a web,lives in water,lives in the sea,7,both_premises,1,0
82,1,makes a web,lives in water,can swim,7,both_premises,1,1
83,1,makes a web,lives in water,eats fish,6,both_premises,1,0
84,1,makes a web,lives in water,lives in the woods,1,both_premises,1,0
85,1,makes a web,lives in water,has gills,7,both_premises,1,0
86,1,makes a web,lives in water,eats grass,3,both_premises,1,0
87,1,makes a web,lives in water,sucks blood,4,both_premises,0,1
88,1,makes a web,lives in water,eats grain,1,both_premises,1,0
89,1,makes a web,lives in water,eats nuts,1,both_premises,1,0
90,1,makes a web,lives in water,eats berries,1,both_premises,1,0
91,1,has feathers,crawls,has scales,2,both_premises,1,0
92,1,has feathers,crawls,has a beak,6,both_premises,0,1
93,1,has feathers,crawls,has two legs,6,both_premises,1,1
94,1,has feathers,crawls,has six legs,5,both_premises,1,0
95,1,has feathers,crawls,has fur,2,both_premises,1,0
96,1,has feathers,crawls,has no legs,1,both_premises,1,0
97,1,has feathers,crawls,lives under the ground,4,both_premises,0,0
98,1,has feathers,crawls,makes a web,2,both_premises,0,0
99,1,has feathers,crawls,eats nuts,4,both_premises,0,1
100,1,has feathers,crawls,eats berries,4,both_premises,0,1
101,1,has a hump,makes a web,lays eggs,4,both_premises,0,1
102,1,has a hump,makes a web,has four legs,7,both_premises,0,1
103,1,has a hump,makes a web,is grey,4,both_premises,0,1
104,1,has a hump,makes a web,is black,4,both_premises,0,1
105,1,has a hump,makes a web,lives in the woods,4,both_premises,0,1
106,1,has a hump,makes a web,stings,4,both_premises,0,1
107,1,has a hump,makes a web,has feelers,4,both_premises,0,1
108,1,has a hump,makes a web,eats grass,2,both_premises,0,1
109,1,has a hump,makes a web,is heavy,1,both_premises,0,1
110,1,has a hump,makes a web,can be ridden,1,both_premises,0,1
111,1,is red,has a trunk,can fly,4,both_premises,0,1
112,1,is red,has a trunk,lays eggs,4,both_premises,0,1
113,1,is red,has a trunk,has wings,4,both_premises,0,1
114,1,is red,has a trunk,has four legs,4,both_premises,0,1
115,1,is red,has a trunk,is grey,4,both_premises,0,1
116,1,is red,has a trunk,has sharp teeth,3,both_premises,0,1
117,1,is red,has a trunk,eats grass,4,both_premises,0,1
118,1,is red,has a trunk,is heavy,4,both_premises,0,1
119,1,is red,has a trunk,can be ridden,4,both_premises,0,1
120,1,is red,has a trunk,is strong,4,both_premises,0,1
121,1,sings,has gills,can fly,2,both_premises,0,1
122,1,sings,has gills,has wings,2,both_premises,0,1
123,1,sings,has gills,lives in water,7,both_premises,1,0
124,1,sings,has gills,has feathers,3,both_premises,0,1
125,1,sings,has gills,lives in the sea,7,both_premises,1,0
126,1,sings,has gills,can swim,7,both_premises,0,1
127,1,sings,has gills,has two legs,4,both_premises,0,1
128,1,sings,has gills,lives in trees,2,both_premises,0,1
129,1,sings,has gills,is cold-blooded,5,both_premises,0,1
130,1,sings,has gills,eats nuts,2,both_premises,0,1
131,1,has wings,has a trunk,can fly,6,both_premises,1,1
132,1,has wings,has a trunk,lays eggs,6,both_premises,0,1
133,1,has wings,has a trunk,has four legs,1,both_premises,0,1
134,1,has wings,has a trunk,has sharp teeth,4,both_premises,0,1
135,1,has wings,has a trunk,crawls,2,both_premises,0,0
136,1,has wings,has a trunk,has a long neck,4,both_premises,0,0
137,1,has wings,has a trunk,eats grass,4,both_premises,0,1
138,1,has wings,has a trunk,can be ridden,4,both_premises,0,1
139,1,has wings,has a trunk,has fur,2,both_premises,0,1
140,1,has wings,has a trunk,eats berries,4,both_premises,0,0
141,1,has feathers,has no legs,can fly,6,both_premises,0,1
142,1,has feathers,has no legs,has wings,7,both_premises,0,1
143,1,has feathers,has no legs,has four legs,1,both_premises,1,0
144,1,has feathers,has no legs,has a beak,5,both_premises,0,1
145,1,has feathers,has no legs,has two legs,1,both_premises,1,1
146,1,has feathers,has no legs,has six legs,1,both_premises,1,0
147,1,has feathers,has no legs,has fur,2,both_premises,1,0
148,1,has feathers,has no legs,is cold-blooded,4,both_premises,0,1
149,1,has feathers,has no legs,eats nuts,4,both_premises,0,1
150,1,has feathers,has no legs,eats berries,4,both_premises,0,1
151,1,has scales,has a beak,can fly,3,both_premises,0,1
152,1,has scales,has a beak,has wings,5,both_premises,0,1
153,1,has scales,has a beak,has feathers,5,both_premises,1,1
154,1,has scales,has a beak,has two legs,4,both_premises,0,1
155,1,has scales,has a beak,stinks,4,both_premises,0,0
156,1,has scales,has a beak,sucks blood,4,both_premises,0,0
157,1,has scales,has a beak,has fur,1,both_premises,1,0
158,1,has scales,has a beak,is cold-blooded,7,both_premises,0,1
159,1,has scales,has a beak,eats nuts,4,both_premises,0,1
160,1,has scales,has a beak,eats berries,4,both_premises,0,1
161,1,stings,has feathers,has scales,4,both_premises,1,0
162,1,stings,has feathers,has a beak,5,both_premises,0,1
163,1,stings,has feathers,has two legs,4,both_premises,0,1
164,1,stings,has feathers,has sharp teeth,3,both_premises,0,0
165,1,stings,has feathers,crawls,3,both_premises,0,1
166,1,stings,has feathers,stinks,4,both_premises,0,0
167,1,stings,has feathers,has feelers,6,both_premises,0,1
168,1,stings,has feathers,has fur,2,both_premises,1,0
169,1,stings,has feathers,eats nuts,3,both_premises,0,1
170,1,stings,has feathers,eats berries,3,both_premises,0,1
171,1,has a beak,has fur,can fly,3,both_premises,0,1
172,1,has a beak,has fur,lays eggs,4,both_premises,0,1
173,1,has a beak,has fur,has wings,4,both_premises,0,1
174,1,has a beak,has fur,has four legs,4,both_premises,0,1
175,1,has a beak,has fur,has feathers,3,both_premises,1,1
176,1,has a beak,has fur,has scales,2,both_premises,1,0
177,1,has a beak,has fur,has two legs,4,both_premises,0,1
178,1,has a beak,has fur,stinks,4,both_premises,0,0
179,1,has a beak,has fur,sucks blood,3,both_premises,0,0
180,1,has a beak,has fur,has a mane,5,both_premises,1,0
181,1,can be ridden,has six legs,has four legs,7,both_premises,1,0
182,1,can be ridden,has six legs,lives in the woods,4,both_premises,0,1
183,1,can be ridden,has six legs,has two legs,7,both_premises,1,0
184,1,can be ridden,has six legs,crawls,4,both_premises,1,0
185,1,can be ridden,has six legs,stinks,4,both_premises,0,1
186,1,can be ridden,has six legs,has feelers,2,both_premises,0,1
187,1,can be ridden,has six legs,eats grass,4,both_premises,0,1
188,1,can be ridden,has six legs,is heavy,7,both_premises,0,1
189,1,can be ridden,has six legs,has no legs,1,both_premises,1,0
190,1,can be ridden,has six legs,is strong,7,both_premises,1,1
191,1,has gills,has feelers,can fly,2,both_premises,0,0
192,1,has gills,has feelers,lives in water,6,both_premises,1,1
193,1,has gills,has feelers,lives in the sea,6,both_premises,1,0
194,1,has gills,has feelers,can swim,6,both_premises,0,1
195,1,has gills,has feelers,eats fish,5,both_premises,0,1
196,1,has gills,has feelers,has six legs,4,both_premises,0,0
197,1,has gills,has feelers,stinks,4,both_premises,0,1
198,1,has gills,has feelers,is cold-blooded,4,both_premises,0,1
199,1,has gills,has feelers,climbs well,4,both_premises,0,0
200,1,has gills,has feelers,eats nuts,4,both_premises,0,0
201,1,lives in the sea,has a mane,lives in water,7,both_premises,1,1
202,1,lives in the sea,has a mane,can swim,7,both_premises,1,0
203,1,lives in the sea,has a mane,eats fish,6,both_premises,1,1
204,1,lives in the sea,has a mane,eats grass,4,both_premises,1,0
205,1,lives in the sea,has a mane,sings,4,both_premises,1,0
206,1,lives in the sea,has a mane,lives in the desert,1,both_premises,1,0
207,1,lives in the sea,has a mane,has fur,5,both_premises,1,1
208,1,lives in the sea,has a mane,eats grain,2,both_premises,1,0
209,1,lives in the sea,has a mane,makes an irritating sound,4,both_premises,1,0
210,1,lives in the sea,has a mane,sees in the dark,4,both_premises,0,1
211,1,has no legs,can fly,has wings,7,both_premises,1,1
212,1,has no legs,can fly,has four legs,1,both_premises,1,0
213,1,has no legs,can fly,can swim,1,both_premises,0,1
214,1,has no legs,can fly,has two legs,1,both_premises,1,0
215,1,has no legs,can fly,has six legs,1,both_premises,1,0
216,1,has no legs,can fly,crawls,1,both_premises,1,0
217,1,has no legs,can fly,lives in trees,5,both_premises,1,0
218,1,has no legs,can fly,can jump far,1,both_premises,1,0
219,1,has no legs,can fly,has a hump,3,both_premises,0,0
220,1,has no legs,can fly,is cold-blooded,3,both_premises,0,1
221,1,eats fish,has six legs,can fly,4,both_premises,0,0
222,1,eats fish,has six legs,lives in water,3,both_premises,1,0
223,1,eats fish,has six legs,has four legs,7,both_premises,1,0
224,1,eats fish,has six legs,is grey,4,both_premises,0,0
225,1,eats fish,has six legs,lives in the sea,3,both_premises,1,0
226,1,eats fish,has six legs,has two legs,7,both_premises,1,0
227,1,eats fish,has six legs,crawls,4,both_premises,1,0
228,1,eats fish,has six legs,has feelers,4,both_premises,0,1
229,1,eats fish,has six legs,lives in the desert,4,both_premises,1,0
230,1,eats fish,has six legs,has no legs,1,both_premises,1,0
231,1,has scales,has two legs,can fly,3,both_premises,0,1
232,1,has scales,has two legs,has wings,3,both_premises,0,1
233,1,has scales,has two legs,has feathers,4,both_premises,1,1
234,1,has scales,has two legs,has a beak,3,both_premises,0,1
235,1,has scales,has two legs,has six legs,1,both_premises,1,0
236,1,has scales,has two legs,has fur,3,both_premises,1,0
237,1,has scales,has two legs,has no legs,1,both_premises,1,0
238,1,has scales,has two legs,is cold-blooded,6,both_premises,0,1
239,1,has scales,has two legs,eats nuts,4,both_premises,0,1
240,1,has scales,has two legs,eats berries,4,both_premises,0,1
241,1,has two legs,lives under the ground,has four legs,5,both_premises,1,0
242,1,has two legs,lives under the ground,has feathers,3,both_premises,0,1
243,1,has two legs,lives under the ground,is green,4,both_premises,0,0
244,1,has two legs,lives under the ground,has a beak,3,both_premises,0,1
245,1,has two legs,lives under the ground,lives in the woods,4,both_premises,1,0
246,1,has two legs,lives under the ground,has six legs,5,both_premises,1,0
247,1,has two legs,lives under the ground,crawls,5,both_premises,1,1
248,1,has two legs,lives under the ground,lives in the desert,5,both_premises,1,0
249,1,has two legs,lives under the ground,has no legs,1,both_premises,1,0
250,1,has two legs,lives under the ground,climbs well,2,both_premises,0,0
251,1,has gills,has fur,lives in water,7,both_premises,1,0
252,1,has gills,has fur,has feathers,1,both_premises,1,0
253,1,has gills,has fur,lives in the sea,5,both_premises,1,0
254,1,has gills,has fur,has scales,5,both_premises,1,0
255,1,has gills,has fur,eats grass,2,both_premises,0,0
256,1,has gills,has fur,sucks blood,4,both_premises,0,0
257,1,has gills,has fur,is yellow,4,both_premises,0,0
258,1,has gills,has fur,sings,4,both_premises,0,0
259,1,has gills,has fur,has a mane,4,both_premises,1,0
260,1,has gills,has fur,is cold-blooded,6,both_premises,0,1
261,1,lives in trees,can be ridden,can fly,4,both_premises,1,0
262,1,lives in trees,can be ridden,has four legs,5,both_premises,1,0
263,1,lives in trees,can be ridden,lives in the woods,6,both_premises,1,1
264,1,lives in trees,can be ridden,is white,4,both_premises,0,0
265,1,lives in trees,can be ridden,is slow,4,both_premises,0,0
266,1,lives in trees,can be ridden,eats grass,4,both_premises,0,1
267,1,lives in trees,can be ridden,is strong,6,both_premises,1,0
268,1,lives in trees,can be ridden,has a hump,4,both_premises,0,0
269,1,lives in trees,can be ridden,climbs well,4,both_premises,1,0
270,1,lives in trees,can be ridden,sees in the dark,4,both_premises,0,0
271,1,has fur,sings,lays eggs,4,both_premises,0,1
272,1,has fur,sings,has wings,4,both_premises,0,1
273,1,has fur,sings,lives in water,2,both_premises,1,0
274,1,has fur,sings,has four legs,4,both_premises,0,1
275,1,has fur,sings,has feathers,2,both_premises,1,1
276,1,has fur,sings,lives in the sea,2,both_premises,1,0
277,1,has fur,sings,has scales,2,both_premises,1,0
278,1,has fur,sings,has a beak,4,both_premises,0,1
279,1,has fur,sings,has two legs,4,both_premises,0,1
280,1,has fur,sings,has a mane,5,both_premises,1,0
281,1,is pink,lives in the desert,lives in water,1,both_premises,1,0
282,1,is pink,lives in the desert,lives in the sea,1,both_premises,1,0
283,1,is pink,lives in the desert,eats fish,1,both_premises,1,0
284,1,is pink,lives in the desert,lives in the woods,1,both_premises,1,0
285,1,is pink,lives in the desert,stings,5,both_premises,0,0
286,1,is pink,lives in the desert,stinks,4,both_premises,0,0
287,1,is pink,lives in the desert,has a long neck,4,both_premises,0,0
288,1,is pink,lives in the desert,lives under the ground,5,both_premises,1,0
289,1,is pink,lives in the desert,sees in the dark,4,both_premises,0,0
290,1,is pink,lives in the desert,eats berries,2,both_premises,0,0
291,1,has feelers,has four legs,has scales,4,both_premises,0,0
292,1,has feelers,has four legs,has two legs,7,both_premises,1,0
293,1,has feelers,has four legs,has six legs,1,both_premises,1,0
294,1,has feelers,has four legs,is slow,4,both_premises,0,0
295,1,has feelers,has four legs,can jump far,4,both_premises,0,0
296,1,has feelers,has four legs,sucks blood,4,both_premises,0,0
297,1,has feelers,has four legs,can be ridden,4,both_premises,1,0
298,1,has feelers,has four legs,has fur,4,both_premises,0,0
299,1,has feelers,has four legs,has no legs,1,both_premises,1,0
300,1,has feelers,has four legs,is pink,4,both_premises,0,0
301,1,lays eggs,has a hump,is grey,4,both_premises,0,0
302,1,lays eggs,has a hump,is a pet,4,both_premises,0,0
303,1,lays eggs,has a hump,has two legs,4,both_premises,0,0
304,1,lays eggs,has a hump,is slow,4,both_premises,0,0
305,1,lays eggs,has a hump,eats grass,4,both_premises,0,1
306,1,lays eggs,has a hump,can be ridden,5,both_premises,0,1
307,1,lays eggs,has a hump,has fur,4,both_premises,0,1
308,1,lays eggs,has a hump,lives under the ground,4,both_premises,0,0
309,1,lays eggs,has a hump,climbs well,4,both_premises,0,0
310,1,lays eggs,has a hump,is blue,4,both_premises,0,0
311,1,can be ridden,is green,has four legs,7,both_premises,1,0
312,1,can be ridden,is green,has sharp teeth,4,both_premises,0,0
313,1,can be ridden,is green,has feelers,4,both_premises,0,0
314,1,can be ridden,is green,lives in trees,4,both_premises,0,0
315,1,can be ridden,is green,eats grass,6,both_premises,0,1
316,1,can be ridden,is green,is heavy,6,both_premises,0,0
317,1,can be ridden,is green,is yellow,1,both_premises,0,0
318,1,can be ridden,is green,lives in the desert,4,both_premises,0,0
319,1,can be ridden,is green,is strong,7,both_premises,1,0
320,1,can be ridden,is green,is cold-blooded,4,both_premises,0,0
321,1,has a beak,has sharp teeth,can fly,5,both_premises,0,1
322,1,has a beak,has sharp teeth,has wings,5,both_premises,0,1
323,1,has a beak,has sharp teeth,has feathers,5,both_premises,0,1
324,1,has a beak,has sharp teeth,has two legs,4,both_premises,0,1
325,1,has a beak,has sharp teeth,is a nocturnal animal,4,both_premises,0,0
326,1,has a beak,has sharp teeth,is a predator,5,both_premises,1,0
327,1,has a beak,has sharp teeth,sings,4,both_premises,0,0
328,1,has a beak,has sharp teeth,has no legs,3,both_premises,0,0
329,1,has a beak,has sharp teeth,lives under the ground,4,both_premises,0,0
330,1,has a beak,has sharp teeth,eats berries,4,both_premises,0,1
331,1,has sharp teeth,is red,can fly,4,both_premises,0,1
332,1,has sharp teeth,is red,has wings,4,both_premises,0,1
333,1,has sharp teeth,is red,is black,1,both_premises,0,0
334,1,has sharp teeth,is red,can swim,4,both_premises,0,0
335,1,has sharp teeth,is red,has two legs,4,both_premises,0,0
336,1,has sharp teeth,is red,crawls,4,both_premises,0,0
337,1,has sharp teeth,is red,is a predator,6,both_premises,1,0
338,1,has sharp teeth,is red,sucks blood,4,both_premises,0,0
339,1,has sharp teeth,is red,has no legs,4,both_premises,0,0
340,1,has sharp teeth,is red,makes a web,4,both_premises,0,0
341,1,is heavy,stings,is green,4,both_premises,0,0
342,1,is heavy,stings,is black,4,both_premises,0,0
343,1,is heavy,stings,eats fish,4,both_premises,0,0
344,1,is heavy,stings,stinks,4,both_premises,0,0
345,1,is heavy,stings,has a long neck,3,both_premises,0,0
346,1,is heavy,stings,has feelers,5,both_premises,0,1
347,1,is heavy,stings,is a predator,4,both_premises,0,0
348,1,is heavy,stings,lives in trees,4,both_premises,0,0
349,1,is heavy,stings,is slow,4,both_premises,1,0
350,1,is heavy,stings,eats berries,3,both_premises,0,0
351,1,has six legs,is pink,has four legs,7,both_premises,1,0
352,1,has six legs,is pink,is green,1,both_premises,0,0
353,1,has six legs,is pink,can swim,2,both_premises,0,0
354,1,has six legs,is pink,lives in the woods,4,both_premises,0,0
355,1,has six legs,is pink,has two legs,7,both_premises,1,0
356,1,has six legs,is pink,crawls,5,both_premises,1,0
357,1,has six legs,is pink,is a predator,6,both_premises,0,0
358,1,has six legs,is pink,has no legs,1,both_premises,1,0
359,1,has six legs,is pink,makes a web,5,both_premises,0,0
360,1,has six legs,is pink,sees in the dark,4,both_premises,0,0
361,1,makes a web,has six legs,lives in water,2,both_premises,0,0
362,1,makes a web,has six legs,has four legs,7,both_premises,1,0
363,1,makes a web,has six legs,is black,4,both_premises,0,0
364,1,makes a web,has six legs,is white,4,both_premises,0,0
365,1,makes a web,has six legs,has gills,2,both_premises,0,0
366,1,makes a web,has six legs,has two legs,7,both_premises,1,0
367,1,makes a web,has six legs,is a nocturnal animal,4,both_premises,0,0
368,1,makes a web,has six legs,crawls,5,both_premises,1,0
369,1,makes a web,has six legs,is heavy,2,both_premises,0,0
370,1,makes a web,has six legs,has no legs,1,both_premises,1,0
371,1,has fur,has feelers,lays eggs,3,both_premises,0,1
372,1,has fur,has feelers,lives in water,3,both_premises,0,0
373,1,has fur,has feelers,has four legs,5,both_premises,0,1
374,1,has fur,has feelers,has feathers,2,both_premises,1,0
375,1,has fur,has feelers,has scales,2,both_premises,1,0
376,1,has fur,has feelers,stings,4,both_premises,0,0
377,1,has fur,has feelers,stinks,4,both_premises,0,0
378,1,has fur,has feelers,is yellow,4,both_premises,0,0
379,1,has fur,has feelers,is pink,4,both_premises,0,0
380,1,has fur,has feelers,has a mane,5,both_premises,1,0
381,1,is a predator,is red,can fly,4,both_premises,0,0
382,1,is a predator,is red,lives in water,4,both_premises,0,0
383,1,is a predator,is red,is green,1,both_premises,0,0
384,1,is a predator,is red,has two legs,7,both_premises,0,0
385,1,is a predator,is red,has sharp teeth,6,both_premises,1,0
386,1,is a predator,is red,is pink,1,both_premises,0,0
387,1,is a predator,is red,is strong,6,both_premises,1,0
388,1,is a predator,is red,has a hump,3,both_premises,0,0
389,1,is a predator,is red,is cold-blooded,4,both_premises,0,0
390,1,is a predator,is red,eats berries,2,both_premises,0,0
391,1,is red,sees in the dark,has wings,4,both_premises,0,0
392,1,is red,sees in the dark,can swim,4,both_premises,0,0
393,1,is red,sees in the dark,has two legs,4,both_premises,0,0
394,1,is red,sees in the dark,is a nocturnal animal,6,both_premises,1,0
395,1,is red,sees in the dark,stinks,4,both_premises,0,0
396,1,is red,sees in the dark,sucks blood,4,both_premises,0,0
397,1,is red,sees in the dark,has no legs,4,both_premises,0,0
398,1,is red,sees in the dark,eats grain,3,both_premises,0,0
399,1,is red,sees in the dark,makes a web,2,both_premises,0,0
400,1,is red,sees in the dark,eats nuts,3,both_premises,0,0
1,2,has a trunk,lives in the sea,lives in water,7,both_premises,1,1
2,2,has a trunk,lives in the sea,can swim,7,both_premises,1,1
3,2,has a trunk,lives in the sea,eats fish,6,both_premises,1,1
4,2,has a trunk,lives in the sea,has gills,6,both_premises,1,0
5,2,has a trunk,lives in the sea,eats grass,1,both_premises,1,1
6,2,has a trunk,lives in the sea,sings,1,both_premises,1,0
7,2,has a trunk,lives in the sea,can be ridden,4,both_premises,0,1
8,2,has a trunk,lives in the sea,eats grain,1,both_premises,1,0
9,2,has a trunk,lives in the sea,makes an irritating sound,4,both_premises,1,0
10,2,has a trunk,lives in the sea,eats nuts,1,both_premises,1,1
11,2,has six legs,lives in the sea,lives in water,7,both_premises,1,1
12,2,has six legs,lives in the sea,has four legs,1,both_premises,1,0
13,2,has six legs,lives in the sea,can swim,7,both_premises,1,1
14,2,has six legs,lives in the sea,eats fish,6,both_premises,1,1
15,2,has six legs,lives in the sea,lives in the woods,1,both_premises,1,1
16,2,has six legs,lives in the sea,has feelers,4,both_premises,0,1
17,2,has six legs,lives in the sea,eats grass,1,both_premises,1,0
18,2,has six legs,lives in the sea,has no legs,1,both_premises,1,0
19,2,has six legs,lives in the sea,makes an irritating sound,4,both_premises,1,0
20,2,has six legs,lives in the sea,eats nuts,1,both_premises,1,0
21,2,can fly,has a mane,lays eggs,7,both_premises,0,1
22,2,can fly,has a mane,has wings,7,both_premises,1,1
23,2,can fly,has a mane,lives in water,2,both_premises,0,0
24,2,can fly,has a mane,has four legs,2,both_premises,0,1
25,2,can fly,has a mane,has feelers,4,both_premises,0,0
26,2,can fly,has a mane,lives in trees,5,both_premises,1,0
27,2,can fly,has a mane,has fur,7,both_premises,1,1
28,2,can fly,has a mane,makes an irritating sound,4,both_premises,0,0
29,2,can fly,has a mane,sees in the dark,4,both_premises,0,1
30,2,can fly,has a mane,eats nuts,4,both_premises,0,0
31,2,sucks blood,has two legs,has four legs,1,both_premises,1,0
32,2,sucks blood,has two legs,has feathers,4,both_premises,0,1
33,2,sucks blood,has two legs,has a beak,4,both_premises,0,1
34,2,sucks blood,has two legs,stings,4,both_premises,0,1
35,2,sucks blood,has two legs,has six legs,1,both_premises,1,1
36,2,sucks blood,has two legs,crawls,4,both_premises,1,1
37,2,sucks blood,has two legs,has feelers,4,both_premises,0,1
38,2,sucks blood,has two legs,has no legs,1,both_premises,1,0
39,2,sucks blood,has two legs,eats nuts,3,both_premises,0,1
40,2,sucks blood,has two legs,eats berries,3,both_premises,0,1
41,2,lives in the desert,is blue,lives in water,1,both_premises,1,1
42,2,lives in the desert,is blue,lives in the sea,1,both_premises,1,1
43,2,lives in the desert,is blue,eats fish,1,both_premises,1,0
44,2,lives in the desert,is blue,lives in the woods,1,both_premises,1,0
45,2,lives in the desert,is blue,has gills,1,both_premises,0,1
46,2,lives in the desert,is blue,is a nocturnal animal,5,both_premises,0,0
47,2,lives in the desert,is blue,is slow,4,both_premises,0,0
48,2,lives in the desert,is blue,has no legs,1,both_premises,0,0
49,2,lives in the desert,is blue,lives under the ground,5,both_premises,1,0
50,2,lives in the desert,is blue,sees in the dark,4,both_premises,0,0
51,2,can fly,has scales,has wings,7,both_premises,1,1
52,2,can fly,has scales,lives in water,2,both_premises,0,0
53,2,can fly,has scales,has feathers,1,both_premises,1,0
54,2,can fly,has scales,can swim,1,both_premises,0,1
55,2,can fly,has scales,is a predator,4,both_premises,0,0
56,2,can fly,has scales,lives in trees,5,both_premises,1,0
57,2,can fly,has scales,sings,1,both_premises,0,0
58,2,can fly,has scales,can be ridden,3,both_premises,0,0
59,2,can fly,has scales,has fur,1,both_premises,1,0
60,2,can fly,has scales,is cold-blooded,6,both_premises,0,1
61,2,has wings,has sharp teeth,can fly,6,both_premises,1,1
